store,category,domain,website,x_link,hunter_domain_search,linkedin_search,channel,note,quick_check_command,exact_pitch
"Beam","Supplements & wellness","shopbeam.com","https://shopbeam.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Gruns","Supplements & wellness","gruns.co","https://gruns.co","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Create","Supplements & wellness","trycreate.co","https://trycreate.co","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Bloom Nutrition","Supplements & wellness","bloomnu.com","https://bloomnu.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Gainful","Supplements & wellness","gainful.com","https://gainful.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Obvi","Supplements & wellness","myobvi.com","https://myobvi.com","undefined","undefined","undefined","manual_dm","Ash Melwani (@ashvinmelwani) — DM","undefined","undefined"
"Brooklinen","Home, kitchen & baby","brooklinen.com","https://brooklinen.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Parachute","Home, kitchen & baby","parachutehome.com","https://parachutehome.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Bearaby","Home, kitchen & baby","bearaby.com","https://bearaby.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Thuma","Home, kitchen & baby","thuma.co","https://thuma.co","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Open Spaces","Home, kitchen & baby","getopenspaces.com","https://getopenspaces.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Simple Modern","Home, kitchen & baby","simplemodern.com","https://simplemodern.com","undefined","undefined","undefined","manual_dm","Mike Beckham (@mikebeckhamsm) — DM","undefined","undefined"
"HexClad","Home, kitchen & baby","hexclad.com","https://hexclad.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Caraway","Home, kitchen & baby","carawayhome.com","https://carawayhome.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Our Place","Home, kitchen & baby","fromourplace.com","https://fromourplace.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Pela","Home, kitchen & baby","pelacase.com","https://pelacase.com","undefined","undefined","undefined","manual_dm","Matt Bertulli active on X — DM","undefined","undefined"
"BrüMate","Home, kitchen & baby","brumate.com","https://brumate.com","undefined","undefined","undefined","manual_dm","Dylan Jacob — DM","undefined","undefined"
"Rumpl","Home, kitchen & baby","rumpl.com","https://rumpl.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Lalo","Home, kitchen & baby","meetlalo.com","https://meetlalo.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Kyte Baby","Home, kitchen & baby","kytebaby.com","https://kytebaby.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Little Sleepies","Home, kitchen & baby","littlesleepies.com","https://littlesleepies.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Dreamland Baby","Home, kitchen & baby","dreamlandbabyco.com","https://dreamlandbabyco.com","undefined","undefined","undefined","manual_dm","Tara Williams (Shark Tank alum)","undefined","undefined"
"Coterie","Home, kitchen & baby","coterie.com","https://coterie.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Bobbie","Home, kitchen & baby","hibobbie.com","https://hibobbie.com","undefined","undefined","undefined","manual_dm","Laura Modi — DM","undefined","undefined"
"Sundays for Dogs","Pets","sundaysfordogs.com","https://sundaysfordogs.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Maev","Pets","meetmaev.com","https://meetmaev.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Jinx","Pets","thinkjinx.com","https://thinkjinx.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Wild One","Pets","wildone.com","https://wildone.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Finn","Pets","petfinn.com","https://petfinn.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Tuft + Paw","Pets","tuftandpaw.com","https://tuftandpaw.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"The James Brand","EDC, bags & phone gear","thejamesbrand.com","https://thejamesbrand.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Craighill","EDC, bags & phone gear","craighill.co","https://craighill.co","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Tactile Turn","EDC, bags & phone gear","tactileturn.com","https://tactileturn.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Orbitkey","EDC, bags & phone gear","orbitkey.com","https://orbitkey.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Nomad","EDC, bags & phone gear","nomadgoods.com","https://nomadgoods.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Moment","EDC, bags & phone gear","shopmoment.com","https://shopmoment.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Peak Design","EDC, bags & phone gear","peakdesign.com","https://peakdesign.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Quad Lock","EDC, bags & phone gear","quadlockcase.com","https://quadlockcase.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"GORUCK","EDC, bags & phone gear","goruck.com","https://goruck.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Ugmonk","EDC, bags & phone gear","ugmonk.com","https://ugmonk.com","undefined","undefined","undefined","manual_dm","Jeff Sheldon — DM","undefined","undefined"
"Ana Luisa","Jewelry & watches","analuisa.com","https://analuisa.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Ring Concierge","Jewelry & watches","ringconcierge.com","https://ringconcierge.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Aurate","Jewelry & watches","auratenewyork.com","https://auratenewyork.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Catbird","Jewelry & watches","catbirdnyc.com","https://catbirdnyc.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Local Eclectic","Jewelry & watches","localeclectic.com","https://localeclectic.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Gorjana","Jewelry & watches","gorjana.com","https://gorjana.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Vaer","Jewelry & watches","vaerwatches.com","https://vaerwatches.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Original Grain","Jewelry & watches","originalgrain.com","https://originalgrain.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Jack Mason","Jewelry & watches","jackmasonbrand.com","https://jackmasonbrand.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"CROSSNET","Fitness & games","crossnetgame.com","https://crossnetgame.com","undefined","undefined","undefined","manual_dm","Chris Meade — DM","undefined","undefined"
"Crossrope","Fitness & games","crossrope.com","https://crossrope.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
