store,category,domain,website,lead_quality_score,priority_tier,known_source,why_high_quality,shopify_signal,best_email,public_emails,email_confidence,email_source_url,contact_pages_checked,linkedin_profiles_found,x_profiles_found,instagram_profiles_found,facebook_profiles_found,tiktok_profiles_found,youtube_profiles_found,public_profile_links,profile_status,hunter_domain_search,linkedin_search,channel,quick_check_command,exact_pitch,crawl_notes
Olipop,Food & Beverage,drinkolipop.com,https://drinkolipop.com,93,A,DTC beverage brand,Functional beverage comparison and subscription intent,yes,wholesale@drinkolipop.com,wholesale@drinkolipop.com; press@drinkolipop.com; hello@drinkolipop.com; subscription@drinkolipop.com,high_site,https://drinkolipop.com/pages/faq,https://drinkolipop.com; https://drinkolipop.com; https://drinkolipop.com/pages/contact-us; https://drinkolipop.com/pages/faq; https://drinkolipop.com/pages/press; https://drinkolipop.com/pages/accessibility,https://www.linkedin.com/company/olipop-pbc,https://twitter.com/drinkolipop,https://www.instagram.com/drinkolipop,https://www.facebook.com/drinkolipop,https://www.tiktok.com/@drinkolipop,https://www.youtube.com/@OLIPOP,https://www.linkedin.com/company/olipop-pbc; https://twitter.com/drinkolipop; https://www.instagram.com/drinkolipop; https://www.facebook.com/drinkolipop; https://www.tiktok.com/@drinkolipop; https://www.youtube.com/@OLIPOP,direct_profile_found,https://hunter.io/search/drinkolipop.com,https://www.linkedin.com/search/results/companies/?keywords=Olipop,email first; LinkedIn or Instagram fallback,bun dev # then audit drinkolipop.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Olipop, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your food & beverage catalog, answer buyer questions like functional beverage comparison and subscription intent, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Olipop, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Poppi,Food & Beverage,drinkpoppi.com,https://drinkpoppi.com,93,A,DTC beverage brand,Functional soda discovery and retail/DTC split,yes,press@drinkpoppi.com,press@drinkpoppi.com; hello@drinkpoppi.com; info@stagheaddesigns.com; justin@echoboomerdesign.com,high_site,https://drinkpoppi.com,https://drinkpoppi.com; https://drinkpoppi.com; https://drinkpoppi.com/pages/contact-us; https://drinkpoppi.com/pages/contact-us; https://drinkpoppi.com/pages/our-story,,,https://www.instagram.com/drinkpoppi,,https://www.tiktok.com/@drinkpoppi,,https://www.instagram.com/drinkpoppi; https://www.tiktok.com/@drinkpoppi,direct_profile_found,https://hunter.io/search/drinkpoppi.com,https://www.linkedin.com/search/results/companies/?keywords=Poppi,email first; LinkedIn or Instagram fallback,bun dev # then audit drinkpoppi.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Poppi, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your food & beverage catalog, answer buyer questions like functional soda discovery and retail/dtc split, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Poppi, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Liquid Death,Food & Beverage,liquiddeath.com,https://liquiddeath.com,93,A,DTC beverage brand,High brand awareness and product discovery,yes,wholesale@liquiddeath.com,wholesale@liquiddeath.com; press@liquiddeath.com; info@liquiddeath.com; event@liquiddeath.com; media-podcasts@liquiddeath.com; social@liquiddeath.com,high_site,https://liquiddeath.com/pages/summon-us,https://liquiddeath.com; https://liquiddeath.com; https://liquiddeath.com/pages/summon-us; https://liquiddeath.com/pages/faq; https://liquiddeath.com/pages/summon-us; https://liquiddeath.com/,,,https://www.instagram.com/liquiddeath,,https://www.tiktok.com/@liquiddeath,,https://www.instagram.com/liquiddeath; https://www.tiktok.com/@liquiddeath,direct_profile_found,https://hunter.io/search/liquiddeath.com,https://www.linkedin.com/search/results/companies/?keywords=Liquid%20Death,email first; LinkedIn or Instagram fallback,bun dev # then audit liquiddeath.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Liquid Death, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your food & beverage catalog, answer buyer questions like high brand awareness and product discovery, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Liquid Death, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Athletic Brewing,Food & Beverage,athleticbrewing.com,https://athleticbrewing.com,93,A,DTC beverage brand,Non-alcoholic beer shopping and subscriptions,yes,press@athleticbrewing.com,press@athleticbrewing.com; info@athleticbrewing.com; available@athleticbrewing.com; exclusively@athleticbrewing.com; brew@athleticbrewing.com; release@athleticbrewing.com; online@athleticbrewing.com,high_site,https://help.athleticbrewing.com/en-US,https://athleticbrewing.com; https://athleticbrewing.com; https://help.athleticbrewing.com/en-US; https://athleticbrewing.com/pages/faqs; https://athleticbrewing.com/pages/faqs; https://athleticbrewing.com/pages/wholesale; https://athleticbrewing.com/pages/about; https://athleticbrewing.com/pages/help-center; https://athleticbrewing.com/blogs/press; https://athleticbrewing.com/pages/faqs,,https://twitter.com/AthleticBrewing,https://www.instagram.com/athleticbrewing,https://www.facebook.com/AthleticBrewing,https://www.tiktok.com/@athleticbrewing,https://www.youtube.com/@AthleticBrewing; https://www.youtube.com/watch,https://twitter.com/AthleticBrewing; https://www.instagram.com/athleticbrewing; https://www.facebook.com/AthleticBrewing; https://www.tiktok.com/@athleticbrewing; https://www.youtube.com/@AthleticBrewing; https://www.youtube.com/watch,direct_profile_found,https://hunter.io/search/athleticbrewing.com,https://www.linkedin.com/search/results/companies/?keywords=Athletic%20Brewing,email first; LinkedIn or Instagram fallback,bun dev # then audit athleticbrewing.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Athletic Brewing, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your food & beverage catalog, answer buyer questions like non-alcoholic beer shopping and subscriptions, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Athletic Brewing, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Chamberlain Coffee,Food & Beverage,chamberlaincoffee.com,https://chamberlaincoffee.com,93,A,DTC beverage brand,Coffee product matching and subscriptions,yes,hi@chamberlaincoffee.com,hi@chamberlaincoffee.com; business@chamberlaincoffee.com,high_site,https://chamberlaincoffee.com/pages/contact,https://chamberlaincoffee.com; https://chamberlaincoffee.com; https://chamberlaincoffee.com/pages/contact; https://chamberlaincoffee.com/; https://chamberlaincoffee.com/; https://chamberlaincoffee.com/; https://chamberlaincoffee.com/; https://chamberlaincoffee.com/; https://chamberlaincoffee.com/pages/about-us; https://chamberlaincoffee.com/pages/about-us,,https://twitter.com/Chamberlaincof,https://www.instagram.com/chamberlaincoffee,https://www.facebook.com/chamberlaincoffee,https://www.tiktok.com/@chamberlaincoffee,https://www.youtube.com/chamberlaincoffee,https://twitter.com/Chamberlaincof; https://www.instagram.com/chamberlaincoffee; https://www.facebook.com/chamberlaincoffee; https://www.tiktok.com/@chamberlaincoffee; https://www.youtube.com/chamberlaincoffee,direct_profile_found,https://hunter.io/search/chamberlaincoffee.com,https://www.linkedin.com/search/results/companies/?keywords=Chamberlain%20Coffee,email first; LinkedIn or Instagram fallback,bun dev # then audit chamberlaincoffee.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Chamberlain Coffee, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your food & beverage catalog, answer buyer questions like coffee product matching and subscriptions, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Chamberlain Coffee, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Fishwife,Food & Beverage,eatfishwife.com,https://eatfishwife.com,93,A,DTC food brand,Gourmet food discovery and gifting,yes,hello@eatfishwife.com,hello@eatfishwife.com; hellow@eatfishwife.com,high_site,https://eatfishwife.com,https://eatfishwife.com; https://eatfishwife.com; https://eatfishwife.com/pages/faq; https://eatfishwife.com/pages/wholesale; https://eatfishwife.com/pages/accessibility,,,https://www.instagram.com/fishwife,,https://www.tiktok.com/@eatfishwife,,https://www.instagram.com/fishwife; https://www.tiktok.com/@eatfishwife,direct_profile_found,https://hunter.io/search/eatfishwife.com,https://www.linkedin.com/search/results/companies/?keywords=Fishwife,email first; LinkedIn or Instagram fallback,bun dev # then audit eatfishwife.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Fishwife, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your food & beverage catalog, answer buyer questions like gourmet food discovery and gifting, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Fishwife, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Daily Harvest,Food & Beverage,daily-harvest.com,https://daily-harvest.com,93,A,DTC food brand,Frozen meal discovery and subscriptions,yes,sales@daily-harvest.com,sales@daily-harvest.com; press@daily-harvest.com; hello@daily-harvest.com; hello@daily-harvest.com.you; hello@daily-harvest.complease; support@truemed.com; more@truemed.com; email@gmail.com,high_site,https://daily-harvest.com/pages/contact,https://daily-harvest.com; https://daily-harvest.com; https://daily-harvest.com/pages/contact; https://daily-harvest.com/pages/contact; https://daily-harvest.com/blogs/faq; https://daily-harvest.com/pages/faq; https://daily-harvest.com/blogs/faq; https://daily-harvest.com/pages/about; https://daily-harvest.com/pages/about,,,https://www.instagram.com/dailyharvest,https://www.facebook.com/dailyharvestblends,https://www.tiktok.com/@dailyharvest,,https://www.instagram.com/dailyharvest; https://www.facebook.com/dailyharvestblends; https://www.tiktok.com/@dailyharvest,direct_profile_found,https://hunter.io/search/daily-harvest.com,https://www.linkedin.com/search/results/companies/?keywords=Daily%20Harvest,email first; LinkedIn or Instagram fallback,bun dev # then audit daily-harvest.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Daily Harvest, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your food & beverage catalog, answer buyer questions like frozen meal discovery and subscriptions, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Daily Harvest, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Sakara,Wellness,sakara.com,https://www.sakara.com/,93,A,DTC wellness food,High-AOV wellness programs,yes,press@sakaralife.com,press@sakaralife.com; support@sakaralife.com; help@sakaralife.com; careers@sakaralife.com,medium_site,https://www.sakara.com/pages/contact,https://www.sakara.com/; https://www.sakara.com; https://www.sakara.com/pages/contact; https://www.sakara.com/pages/about; https://www.sakara.com/pages/about; https://www.sakara.com/pages/accessibility,,,https://www.instagram.com/sakaralife,https://www.facebook.com/SakaraLife,https://www.tiktok.com/@sakaralife,https://www.youtube.com/channel/UCPOin05c1Sj1R9ozq8lGNKA,https://www.instagram.com/sakaralife; https://www.facebook.com/SakaraLife; https://www.tiktok.com/@sakaralife; https://www.youtube.com/channel/UCPOin05c1Sj1R9ozq8lGNKA,direct_profile_found,https://hunter.io/search/sakara.com,https://www.linkedin.com/search/results/companies/?keywords=Sakara,email first; LinkedIn or Instagram fallback,bun dev # then audit sakara.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Sakara, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your wellness catalog, answer buyer questions like high-aov wellness programs, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Sakara, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Cerebelly,Baby & Kids,cerebelly.com,https://cerebelly.com,93,A,DTC baby food,Nutrition-led baby food discovery,yes,support@cerebelly.com,support@cerebelly.com,high_site,https://cerebelly.com/blogs/blog/what-to-know-about-our-high-quality-standards-and-heavy-metal-testing,https://cerebelly.com; https://cerebelly.com; https://cerebelly.com/pages/contact; https://cerebelly.com/pages/about-us; https://cerebelly.com/blogs/blog/what-to-know-about-our-high-quality-standards-and-heavy-metal-testing; https://cerebelly.com/pages/accessibility-statement; https://cerebelly.com/policies/contact-information,,https://x.com/eatcerebelly,https://www.instagram.com/eatcerebelly,https://www.facebook.com/eatcerebelly,,,https://x.com/eatcerebelly; https://www.instagram.com/eatcerebelly; https://www.facebook.com/eatcerebelly,direct_profile_found,https://hunter.io/search/cerebelly.com,https://www.linkedin.com/search/results/companies/?keywords=Cerebelly,email first; LinkedIn or Instagram fallback,bun dev # then audit cerebelly.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Cerebelly, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your baby & kids catalog, answer buyer questions like nutrition-led baby food discovery, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Cerebelly, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Lovevery,Baby & Kids,lovevery.com,https://lovevery.com,93,A,DTC kids brand,Age-based kits and subscription discovery,yes,support.specialist@lovevery.com,support.specialist@lovevery.com,high_site,https://lovevery.com/pages/disability-support-service,https://lovevery.com; https://lovevery.com; https://help.lovevery.com/hc/en-us; https://lovevery.com/pages/about-us; https://lovevery.com/pages/about-us; https://lovevery.com/pages/disability-support-service,,,https://www.instagram.com/lovevery,https://www.facebook.com/Lovevery; https://facebook.com/lovevery,https://www.tiktok.com/@lovevery,https://www.youtube.com/channel/UC0poUqIxO3uTYTw1zVgzeKw; https://youtube.com/lovevery,https://www.instagram.com/lovevery; https://www.facebook.com/Lovevery; https://facebook.com/lovevery; https://www.tiktok.com/@lovevery; https://www.youtube.com/channel/UC0poUqIxO3uTYTw1zVgzeKw; https://youtube.com/lovevery,direct_profile_found,https://hunter.io/search/lovevery.com,https://www.linkedin.com/search/results/companies/?keywords=Lovevery,email first; LinkedIn or Instagram fallback,bun dev # then audit lovevery.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Lovevery, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your baby & kids catalog, answer buyer questions like age-based kits and subscription discovery, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Lovevery, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
